City,City_ID,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind_Speed
Emerald, 2167426, AU, -23.53, 148.17, 64.81, 72, 0, 10.29
Guerrero Negro, 4021858, MX, 27.98, -114.06, 71.92, 60, 87, 15.68
Ulladulla, 2145554, AU, -35.35, 150.47, 53.38, 71, 90, 18.34
Ponta do Sol, 2264557, PT, 32.67, -17.1, 64.8, 68, 20, 4.7
Abū Zabad, 380348, SD, 12.35, 29.25, 83.75, 22, 0, 10.51
Mongu, 906054, ZM, -15.25, 23.13, 78.62, 18, 26, 5.82
Pahrump, 5509851, US, 36.21, -115.98, 63.57, 34, 0, 3
Kavaratti, 1267390, IN, 10.57, 72.64, 81.59, 77, 100, 8.14
Port Hedland, 2063042, AU, -20.32, 118.57, 69.8, 88, 100, 6.93
Makakilo City, 5850554, US, 21.35, -158.09, 75.85, 74, 1, 2.46
Diyarb Najm, 358095, EG, 30.75, 31.44, 77.63, 53, 0, 11.41
Anadyr, 2127202, RU, 64.75, 177.48, 23, 100, 90, 4.47
Mahibadhoo, 1337605, MV, 3.78, 72.97, 82.47, 78, 100, 9.17
Porvoo, 660561, FI, 60.39, 25.67, 44.28, 96, 100, 9.1
Ji’an, 1806445, CN, 27.12, 114.98, 59.54, 70, 52, 2.59
Boa Vista, 3664980, BR, 2.82, -60.67, 95, 36, 75, 12.75
Bandar-e Lengeh, 141665, IR, 26.56, 54.88, 77, 41, 0, 4.7
Bushehr, 139817, IR, 28.97, 50.84, 73.4, 64, 0, 4.38
Sechura, 3691954, PE, -5.56, -80.82, 75.34, 55, 96, 14.56
Maracás, 3457854, BR, -13.44, -40.43, 85.01, 39, 5, 6.2
Slave Lake, 6149374, CA, 55.28, -114.77, 15.8, 66, 75, 5.82
Toktogul, 1538648, KG, 41.87, 72.94, 47.26, 51, 0, 0.54
Sambava, 1056899, MG, -14.27, 50.17, 73.04, 80, 1, 10.51
Marzuq, 72181, YE, 14.4, 46.47, 66.18, 34, 0, 2.98
Atar, 2381334, MR, 20.52, -13.05, 94.28, 12, 100, 7.16
Ust-Maya, 2013918, RU, 60.42, 134.53, 4.44, 93, 0, 0.67
Benguela, 3351663, AO, -12.58, 13.41, 75.6, 79, 100, 7.78
Thompson, 6165406, CA, 55.74, -97.86, 28.4, 58, 75, 12.75
Tignère, 2221513, CM, 7.37, 12.65, 68.74, 81, 100, 1.61
